id;SEVERITY_classes;age_classes;day_week;DEFORMED_classes;m_harm_classes;hour;impact1_classes;lgt_cond;make;man_coll;month;p_crash1;pcrash4;pcrash5;rel_road;reljct1;reljct2;rest_use;sex;speedrel_classes;typ_int;valign;ve_total;vnum_lan;vsurcond;vtrafway;weather_classes
7076;1;6;2;4;4;22;21;2;10.0;1;7;8;2;3;4;0;1;3.0;1.0;0;1;4;1;3;2;3;1
11704;1;6;7;4;5;16;1;1;2.0;1;4;2;3;2;1;0;2;3.0;1.0;1;2;2;1;5;2;3;1
24429;1;7;4;4;1;17;13;1;7.0;4;9;1;2;2;1;0;8;3.0;1.0;0;1;2;2;5;2;2;1
5891;0;9;5;4;5;16;1;1;4.0;1;9;8;3;3;4;0;1;3.0;1.0;0;1;4;1;3;2;2;1
17741;1;10;4;3;1;22;15;3;4.0;1;4;1;2;3;4;0;1;1.0;1.0;1;1;2;1;3;2;2;1
7545;1;3;7;4;1;18;7;1;2.0;2;6;1;2;2;1;0;1;1.0;1.0;0;1;2;2;3;2;3;1
30005;0;10;1;4;5;17;1;1;7.0;1;5;8;2;3;4;0;1;4.0;2.0;0;1;4;1;3;2;4;1
23431;0;7;1;4;1;23;22;3;2.0;5;2;7;2;2;1;0;1;2.0;1.0;1;1;2;2;4;2;6;1
18054;1;8;5;4;1;17;13;1;10.0;4;8;1;2;2;1;0;8;1.0;1.0;0;1;2;2;3;2;3;1
10995;1;12;1;4;1;12;12;1;8.0;4;1;1;2;2;1;0;2;2.0;1.0;0;2;2;3;3;2;3;1
32157;0;6;2;4;1;13;21;1;8.0;5;9;7;2;2;1;0;2;4.0;1.0;0;3;2;2;3;2;2;1
10598;0;12;7;3;1;15;13;1;2.0;1;7;8;2;3;4;0;1;1.0;1.0;1;1;4;1;2;2;3;1
3541;1;7;6;4;2;16;13;1;10.0;1;10;8;2;3;4;0;1;3.0;1.0;1;1;4;1;3;2;2;1
644;1;9;7;4;1;16;18;1;7.0;5;9;1;2;2;1;0;8;3.0;1.0;0;1;2;2;3;2;3;1
19656;1;8;1;2;5;6;1;2;4.0;1;3;1;2;3;2;0;1;1.0;1.0;0;1;2;1;5;3;3;1
20830;0;2;4;4;1;15;10;1;10.0;4;3;1;2;2;1;0;2;1.0;1.0;0;2;2;2;3;3;2;1
18270;0;7;3;3;1;18;10;1;7.0;6;10;8;2;2;1;0;1;1.0;1.0;0;1;4;3;3;2;2;1
6125;0;12;4;4;1;13;8;1;7.0;4;3;8;2;2;1;0;1;3.0;1.0;0;1;2;2;3;2;3;1
24673;0;10;6;4;1;24;7;3;7.0;2;8;5;2;2;1;0;3;1.0;1.0;0;2;2;2;5;2;5;1
