id;Severity;age_classes;day_week;DEFORMED_classes;hour;impact1_classes;make;man_coll;month;reljct2;rest_use;vnum_lan;vtrafway
10402;0;9;7;4;12;13;2.0;3;1;1;2.0;3;4
17535;1;3;1;4;20;13;4.0;4;3;2;1.0;3;3
6393;1;7;7;2;18;21;7.0;5;11;1;1.0;3;3
24646;0;5;4;4;15;1;7.0;1;7;1;1.0;5;2
6464;1;3;7;4;19;13;10.0;4;8;2;3.0;3;2
5055;0;7;6;4;3;13;4.0;1;6;1;1.0;3;2
17895;1;6;5;4;24;13;7.0;1;5;1;3.0;3;3
14828;0;5;2;4;16;13;10.0;2;5;1;1.0;3;4
20517;0;9;7;3;18;2;7.0;5;2;1;1.0;4;4
30247;1;6;5;4;12;1;2.0;1;7;1;4.0;5;5
7637;0;4;3;4;23;13;4.0;4;8;2;1.0;3;2
36054;0;4;7;4;11;13;4.0;2;6;1;3.0;5;4
19970;1;3;2;2;19;13;2.0;4;7;8;3.0;3;2
20219;1;3;4;4;18;13;4.0;1;6;1;2.0;3;2
18470;0;9;7;4;17;13;7.0;3;11;2;3.0;3;2
22931;0;7;3;4;11;13;2.0;1;5;1;2.0;3;2
4041;1;4;1;4;17;13;4.0;4;5;8;1.0;3;2
22155;0;9;3;3;14;1;7.0;1;4;3;1.0;5;5
21995;1;6;3;4;14;13;8.0;2;7;2;1.0;3;2
17446;0;8;7;4;13;1;7.0;1;9;12;1.0;4;3
15736;1;9;7;4;12;13;7.0;4;10;2;2.0;3;2
15456;0;5;4;4;12;15;2.0;1;4;1;2.0;5;2
11709;1;4;5;4;16;13;10.0;2;5;4;2.0;3;2
10851;1;8;4;4;15;13;10.0;1;6;1;1.0;3;2
1317;0;6;3;4;20;1;7.0;1;9;1;1.0;3;3
21123;0;7;5;4;11;22;2.0;5;8;5;2.0;6;3
16907;0;8;1;4;16;13;3.0;1;7;1;3.0;3;2
29516;0;7;1;4;11;7;7.0;2;7;5;3.0;3;4
17033;0;8;4;4;19;13;2.0;4;6;2;3.0;3;2
25298;0;4;3;4;8;1;8.0;1;9;1;2.0;7;2
7558;0;10;7;4;17;13;10.0;1;7;2;3.0;3;2
30064;0;5;5;3;8;1;11.0;1;4;8;4.0;4;3
34074;0;4;2;2;21;13;4.0;2;9;8;4.0;5;2
10262;0;8;7;4;14;1;7.0;1;11;1;1.0;3;2
